Date,High,Low,Open,Close,Volume,Adj Close
2021-01-04,19.100000381469727,17.149999618530273,19.0,17.25,10022500,17.25
2021-01-05,18.079999923706055,17.229999542236328,17.350000381469727,17.3700008392334,4961500,17.3700008392334
2021-01-06,18.979999542236328,17.329999923706055,17.34000015258789,18.360000610351562,6056200,18.360000610351562
2021-01-07,19.450000762939453,18.020000457763672,18.469999313354492,18.079999923706055,6129300,18.079999923706055
2021-01-08,18.299999237060547,17.079999923706055,18.18000030517578,17.690000534057617,6464500,17.690000534057617
2021-01-11,20.649999618530273,19.010000228881836,19.40999984741211,19.940000534057617,14927600,19.940000534057617
2021-01-12,20.399999618530273,19.31999969482422,19.959999084472656,19.950000762939453,7060700,19.950000762939453
2021-01-13,38.650001525878906,20.030000686645508,20.420000076293945,31.399999618530273,144501700,31.399999618530273
2021-01-14,43.060001373291016,33.04999923706055,38.09000015258789,39.90999984741211,93717400,39.90999984741211
2021-01-15,40.75,34.0099983215332,38.4900016784668,35.5,46752200,35.5
2021-01-19,45.52000045776367,36.63999938964844,41.54999923706055,39.36000061035156,74721900,39.36000061035156
2021-01-20,41.189998626708984,36.060001373291016,37.369998931884766,39.119998931884766,33471800,39.119998931884766
2021-01-21,44.75,37.0,39.22999954223633,43.029998779296875,57079800,43.029998779296875
2021-01-22,76.76000213623047,42.31999969482422,42.59000015258789,65.01000213623047,196784300,65.01000213623047
2021-01-25,159.17999267578125,61.130001068115234,96.7300033569336,76.79000091552734,177874000,76.79000091552734
2021-01-26,150.0,80.19999694824219,88.55999755859375,147.97999572753906,178588000,147.97999572753906
